Approved Budget of the Contract,Contract Duration,Quantity,Item Budget,Award No.,Contract Amount,Month
197120.0,7,2000,197120.0,2724509,332750.0,4
159500.0,1,25000,159500.0,2722196,159500.0,4
710000.0,7,1,710000.0,2708035,670000.0,4
747096.0,1,1,747096.0,2723148,747096.0,4
19200.0,7,20,19200.0,2739634,19200.0,4
1625000.0,20,25,1625000.0,2765307,1623750.0,4
717000.0,10,1500,717000.0,2718194,413400.0,4
245000.0,90,50,245000.0,2724823,244500.0,4
400000.0,1,1,400000.0,2750104,400000.0,4
650000.0,7,1,650000.0,2751395,650000.0,4
326408.0,7,1,326408.0,2715604,277828.0,4
19400.0,7,2,19400.0,2726125,19380.0,4
51500.0,30,1000,51500.0,2738872,51500.0,4
197850.0,4,168,197850.0,2745866,197850.0,4
127500.0,30,5,127500.0,2740072,127500.0,4
30000.0,7,20,30000.0,2754323,20000.0,4
525000.0,7,250,525000.0,2741567,525000.0,4
60986.0,7,149,60986.0,2754792,60936.0,4
109983.0,7,1687,109983.0,2754937,109908.25,4
455000.0,30,1000,455000.0,2738905,455000.0,4
1000000.0,5,625,1000000.0,2742862,1000000.0,4
280000.0,7,100,280000.0,2763763,275000.0,4
360000.0,3,1,360000.0,2731014,325000.0,4
8500000.0,1,1,8500000.0,2764495,8500000.0,4
312260.0,15,1,312260.0,2708695,196370.0,4
5610000.0,15,1,5610000.0,2713324,5500000.0,4
450000.0,5,723,450000.0,2729031,412018.0,4
96979.3,2,1,96979.3,2732893,96979.3,4
592000.0,5,1,592000.0,1267239,592000.0,4
260095.0,1,1,260095.0,2705750,259189.5,4
370000.0,7,200,370000.0,2745990,370000.0,4
2008750.0,1,1,2008750.0,2725793,2008750.0,4
400.0,10,10,400.0,2738561,400.0,4
442000.0,30,2,442000.0,2740420,441140.0,4
2316850.0,7,1,2316850.0,2713038,2316850.0,4
25000.0,7,10,25000.0,2717049,25000.0,4
2000000.0,30,1,2000000.0,2751086,1880000.0,4
136500.0,7,2000,136500.0,2727498,131500.0,4
2508600.0,15,148000,2508600.0,2729554,2486400.0,4
321.2,7,4,321.2,2737955,321.2,4
180000.0,3,1,180000.0,2706837,178374.0,4
330000.0,14,400,330000.0,2726431,330000.0,4
279000.0,7,100,279000.0,2764789,279000.0,4
20256.0,14,1,20256.0,2725307,20256.0,4
182500.0,7,1,182500.0,2752726,146250.0,4
33424740.0000002,0,8700,33424740.0000002,2761724,23927565.00000017,4
487500.0,10,1,487500.0,2707848,485000.0,4
162000.0,7,18000,162000.0,2709143,162000.0,4
33424740.0000002,7,1,33424740.0000002,2702828,455500.0,4
1400000.0,30,500,1400000.0,2737608,1400000.0,4
134000.0,30,1,134000.0,2747557,133500.0,4
1288250.0,1,1,1288250.0,2716927,1288250.0,4
450.0,7,100,450.0,2734048,150.0,4
450.0,7,100,450.0,2734002,150.0,4
13600.0,14,16,13600.0,2759753,13600.0,4
1100000.0,20,1,1100000.0,2700863,1100000.0,4
360000.0,7,200,360000.0,2724171,350000.0,4
1000000.0,7,1250,1000000.0,2738758,1000000.0,4
15000.0,30,15,15000.0,2713367,15000.0,4
10569500.0,15,1,10569500.0,2739660,10569500.0,4
70000.0,7,10,70000.0,2742138,70000.0,4
135468.0,3,1,135468.0,1951736,135468.0,4
3315948.2,14,4,3315948.2,2708329,42000.0,4
450000.0,7,1325,450000.0,2723831,332750.0,4
4425000.0,30,1500,4425000.0,2717872,4425000.0,4
67500.0,3,50,67500.0,2720227,332750.0,4
460000.0,10,1,460000.0,2733970,455570.0,4
108780.0,1,1813,108780.0,2732003,108780.0,4
140000.0,10,100,140000.0,2723285,140000.0,4
324000.0,14,120,324000.0,2724832,324000.0,4
166000.0,15,1,166000.0,2725110,166000.0,4
442000.0,7,2,442000.0,2724609,441140.0,4
400000.0,42,1,400000.0,2754742,57750.0,4
23732.5,7,50,23732.5,2753231,23732.5,4
1491382.0,10,1,1491382.0,2763520,1491382.0,4
1732500.0,0,9,1732500.0,2764299,1683000.0,4
5550000.0,7,1,5550000.0,2731074,5490000.0,4
33424740.0000002,7,5895,33424740.0000002,2729614,23927565.00000017,4
1791550.0,30,950,1791550.0,2723598,1791550.0,4
751000.0,5,1,751000.0,2729089,751000.0,4
700000.0,7,700,700000.0,2728134,700000.0,4
2301600.0,7,1,2301600.0,2704335,2301600.0,4
4250000.0,5,5000,4250000.0,2713373,4250000.0,4
1840000.0,10,1,1840000.0,2764344,1483100.0,4
572255.0,7,1,572255.0,2720433,537281.6,4
7020.0,7,90,7020.0,2754347,6500.0,4
55000.0,7,50,55000.0,2723811,49000.0,4
5712000.0,5,1200000,5712000.0,2751862,5712000.0,4
29250.0,14,150,29250.0,2743317,29250.0,4
63000.0,7,100,63000.0,2742049,56700.0,4
594276.47,4,1,594276.47,2744309,594276.47,4
5250.0,10,5,5250.0,2732815,4750.0,4
1676659.0,15,1,1676659.0,2712719,1671759.0,4
69000.0,7,30,69000.0,2715610,69000.0,4
425000.0,7,20,425000.0,2726072,422095.0,4
199790.0,3,1,199790.0,2741246,199790.0,4
144684.0,7,9,144684.0,2708934,144684.0,4
340000.0,15,40,340000.0,2708932,340000.0,4
2000000.0,30,1,2000000.0,2728108,1999315.0,4
1499450.0,1,34680,1499450.0,2712101,1499450.0,4
6509600.0,7,1,6509600.0,2712168,6276805.0,4
1843500.0,10,7,1843500.0,2711815,1701100.0,4
490274.48,15,1,490274.48,2711975,490189.0,4
713950.0,7,1,713950.0,2731835,675702.68,4
100500.0,7,1,100500.0,2734250,100000.0,4
1940000.0,5,1000,1940000.0,2706516,1908000.0,4
476000.0,10,40,476000.0,2706668,475400.0,4
30000.0,2,310,30000.0,2709870,28795.2,4
700000.0,7,200,700000.0,2755511,700000.0,4
300000.0,7,1,300000.0,2713460,252000.0,4
